,a0,a1,a2,a3,a4,a5,a6,a7
-0.6 to -0.5,-0.1690634502246709,0.8056412614903713,0.23636836447415238,-0.7906953590338072,-1.6900935410824198,0.2684097487987234,2.8975419538697853,1.847961405631929
-0.5 to -0.4,-0.19475063576700605,0.6966799238697338,0.4634362184097097,1.2191892966066846,2.147438796158887,2.123826271823036,1.006318071098655,0.13769797737753325
-0.4 to -0.3,-0.18638882317168687,0.7968124634822862,0.8850509334201017,1.838789927497248,1.9250222388645963,1.5876776641460808,3.256017505989155,3.2650062490343195
-0.3 to -0.2,-0.1994900999280458,0.6339982880279085,0.12480236334630243,0.296077874634341,1.009790603225757,2.3685846132687156,3.424712208521933,2.2908382733109423
-0.2 to -0.1,-0.19967966058097977,0.6307791221815445,0.10802900711414487,0.2977862503213115,1.2427699729094954,2.414931979731972,0.02913479855014898,-4.715576836693988
-0.1 to 0.0,-0.1999306885880385,0.6252974232675527,0.07604304322583907,1.2570476640521806,40.49598950965457,673.2522575005466,5615.825803052686,18510.501559561697
0.0 to 0.1,-0.1999311962889422,0.625325184267516,0.045908922952405395,-0.04041865331790876,9.272281203511312,-212.07984659762474,1875.8895244159537,-5973.787172300802
0.1 to 0.2,-0.1999317570499902,0.6251854450155623,0.054891197991618186,-0.02479540089911887,-0.06201693666446607,0.05197647025477644,-0.05055645033839595,0.017026980985871354
0.2 to 0.3,-0.19987114970997694,0.6237897974254273,0.06776992316604089,-0.08435275887584964,0.06701000588270732,0.016732021194889587,-0.3950446962119927,0.4631183554680853
0.3 to 0.4,-0.19976755453342845,0.6226211296737816,0.07065755746170684,-0.0712713676572436,-0.007433745729170394,0.08827350228776827,-0.220050056946707,0.16818303354818445
0.4 to 0.5,-0.20035954856783622,0.6308115347475657,0.025142635870622487,0.05129277187085129,-0.13815192275486163,-0.0009322054202465132,0.11896763521897981,-0.06048531327348621
0.5 to 0.6,-0.20056511516346792,0.6328020608952298,0.017998834611050743,0.06199970098717189,-0.14146615678682173,-0.006034194031983645,0.11794018496589373,-0.05529889516899874
0.6 to 0.7,-0.21143463128410975,0.7246442558656069,-0.29075445127272664,0.5637222596378902,-0.4793464450543431,-0.0790204948288392,0.3417248706901951,-0.14220764661279744
0.7 to 0.8,-0.18730053286780468,0.6243189581188316,-0.08492822310594968,-0.022560148191865366,1.068780110768821,-2.276709156171858,1.8391695677980258,-0.5329437133751975
