,a0,a1,a2,a3,a4,a5,a6,a7
0.0 to 0.1,-0.4577614959847242,-0.4038315055312257,-0.04140135093211976,0.008234338874354673,-0.00791497760054169,0.022436492342013,0.04338675905044142,0.2878185610193693
0.1 to 0.2,-0.45776269510064393,-0.4037800985971922,-0.042301181223709246,0.016390700854244624,-0.04952354398098351,0.16020978012590556,-0.26353814105106727,0.16222941663498613
0.2 to 0.3,-0.4576241963303977,-0.40711936173533164,-0.008997361657483001,-0.15913428621828601,0.463301880668059,-0.6115561722225016,0.144023915753495,0.29988749023038364
0.3 to 0.4,-0.45798915335989093,-0.3992163661219697,-0.081389822050889,0.1997469903594389,-0.55280208783272,0.9539148367997724,-0.912267822864456,0.3729038255157227
0.4 to 0.5,-0.45661673020319005,-0.41688135988833014,0.013414075938198955,-0.07480671264069301,-0.08700830972982504,0.47935180683676654,-0.6247230727864042,0.28367614182165196
0.5 to 0.6,-0.45402881240185067,-0.42794788915536913,0.004460557477925179,-0.0010272055750415938,0.01694312289199552,-0.28021507450032157,0.4869455811375018,-0.24995920628183
0.6 to 0.7,-0.4571365590397368,-0.4153738551912065,0.0039221227908634426,-0.0040234376065815865,-0.28113771809676885,0.6707414347838606,-0.6265433329282469,0.21586979362198197
0.7 to 0.8,-0.4478086099290949,-0.47081414211579,0.12664147266713907,-0.15260911756432516,-0.05825862821936163,0.2548988752118842,-0.20160738085478377,0.05433306063306297
0.8 to 0.9,-0.5410187024343077,0.02144303792752836,-0.8269962749644559,0.5483901559065778,0.06231448268429912,-0.1973884121542263,0.00392144192094133,0.03412218644414885
0.9 to 1.0,-0.5929754112330956,0.25871860363700067,-1.075334412452254,-0.04155070287053931,2.0185486132535035,-2.5189956673615974,1.3206543050471087,-0.26430273487393474
1.0 to 2.0,-0.4581384509937605,-0.40194217496113704,-0.04539086333516493,0.012024393488667405,-0.002082623099335263,0.0003606906614244696,-7.752630086759195e-05,9.141908930159505e-06
2.0 to 3.0,-0.4374447820366434,-0.4607894227788907,0.026320498379009773,-0.036676789255073804,0.017934681259348842,-0.00466273751636646,0.0006442360459141901,-3.738236257211117e-05
3.0 to 4.0,-0.48193144852769687,-0.35268403643818147,-0.0892493860402973,0.033595283765313046,-0.008218775038460711,0.0012715629341557139,-0.0001129812440887974,4.39169324507196e-06
4.0 to 8.0,-0.4335287461241291,-0.43678026274711196,-0.024948727438104692,0.005639123336113344,-0.0007832938816401563,6.649733309627499e-05,-3.1804010882593215e-06,6.587116159405436e-08
